serie,familia,units,learning_rate,dropout,val_MAE,val_RMSE
total,Modelo 1 (LSTM simple),32,0.001,0.0,0.23789038804669818,0.27870041542046836
total,Modelo 1 (LSTM simple),32,0.01,0.0,0.17557719440009392,0.23793319945719574
total,Modelo 1 (LSTM simple),64,0.001,0.0,0.22739049068911996,0.2928122613687177
total,Modelo 1 (LSTM simple),64,0.01,0.0,0.17246566402179142,0.23494409719105447
total,Modelo 2 (LSTM + Dropout),32,0.001,0.1,0.24787585760431904,0.31392795231202897
total,Modelo 2 (LSTM + Dropout),32,0.001,0.3,0.2087546277128952,0.2741216459852195
total,Modelo 2 (LSTM + Dropout),64,0.001,0.1,0.22783700067292442,0.2873731826128403
total,Modelo 2 (LSTM + Dropout),64,0.001,0.3,0.2184536704823012,0.28382995212996426
via_aerea,Modelo 1 (LSTM simple),32,0.001,0.0,0.24022265047346708,0.32042846298980143
via_aerea,Modelo 1 (LSTM simple),32,0.01,0.0,0.18735590448711673,0.2481818813778839
via_aerea,Modelo 1 (LSTM simple),64,0.001,0.0,0.2031942502981648,0.2765867329007987
via_aerea,Modelo 1 (LSTM simple),64,0.01,0.0,0.18458546624869024,0.2502194203509673
via_aerea,Modelo 2 (LSTM + Dropout),32,0.001,0.1,0.2552176177535238,0.290461822319729
via_aerea,Modelo 2 (LSTM + Dropout),32,0.001,0.3,0.20431476820733857,0.25762636998611843
via_aerea,Modelo 2 (LSTM + Dropout),64,0.001,0.1,0.210349954023803,0.28091048004972347
via_aerea,Modelo 2 (LSTM + Dropout),64,0.001,0.3,0.21199608530088734,0.2826839659477885
