,PC1,PC2
DN_HistogramMode_5,-0.17726422163689848,0.27843418630002936
DN_HistogramMode_10,-0.22143255087062363,-0.044796278317489634
CO_f1ecac,0.2768757723625199,-0.015568344441058795
CO_FirstMin_ac,0.05544872345821319,-0.3927879974939775
CO_HistogramAMI_even_2_5,0.24167593748567687,0.09111407414386552
CO_trev_1_num,-0.007684691223687784,0.40846885539432143
MD_hrv_classic_pnn40,-0.273533950845256,0.008184043002223487
SB_BinaryStats_mean_longstretch1,0.25730656398903584,-0.14841076241559611
SB_TransitionMatrix_3ac_sumdiagcov,0.256877282019529,0.08769814537478056
PD_PeriodicityWang_th0_01,-0.04047979351657432,-0.3158591975255109
CO_Embed2_Dist_tau_d_expfit_meandiff,0.23331490831274201,0.06783038019447657
IN_AutoMutualInfoStats_40_gaussian_fmmi,-0.08326170055933624,-0.3924366366442253
FC_LocalSimple_mean1_tauresrat,-0.2467628546963786,-0.17150576334819323
DN_OutlierInclude_p_001_mdrmd,-0.22487747015941106,0.23029349732587628
DN_OutlierInclude_n_001_mdrmd,0.2694145654231925,-0.0013969014637462745
SP_Summaries_welch_rect_area_5_1,0.2555255790160354,-0.04965946016151352
SB_BinaryStats_diff_longstretch0,-0.20959710805534695,0.08510152171171134
SB_MotifThree_quantile_hh,-0.26858304799156346,0.04920418439894962
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,-0.10423947841685552,-0.30020989184032404
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,-0.03299744176150375,-0.32544061838837257
SP_Summaries_welch_rect_centroid,-0.24947947239992654,-0.10213018195823727
FC_LocalSimple_mean3_stderr,-0.2678091361539788,0.03984122156533144
